Month,BL,Lab Location,Customer Name,Score,Reason
May-17,Electrical,Bangalore, Treffar Power System,8,People at Intertek are very transparent which is very important .Staff is very supportive which we really like.
May-17,Electrical,Bangalore,Pyrotech Electronics Pvt. Ltd.,8,Intertek is quite supporting in certifications.
May-17,Electrical,Bangalore,MARMON FOOD AND BEVERAGE TECHNOLOGIES INDIA PVT. LTD.,8,The services and technical communication is good. Need to work upon TAT.
May-17,Electrical,Delhi,Sai Creations,8,"Initiallly the project was going fine, but in the end the reports were put on hold due to payment. We are working with other labs as well but never had such experience. However We would like to give 10/10 to technical staff for the support extended and their professional behaviour."
May-17,Electrical,Delhi,overdrive electronics pvt ltd,8,Customer is satisfy with the Intertek services.
May-17,Electrical,Delhi,Jaquar & Co. PVT LTD,8,customer found delay in report on testing.
May-17,GTS,Mumbai,TATA MOTORS LTD.,8,We have shipments to several countries that Intertek is not servicing
May-17,GTS,Mumbai,COMET GRANITO PVT. LTD,8,"Recently, there have been delays in receiving draft CoC."
May-17,GTS,Mumbai,CAMELLIA SINENTECH,8,Sometimes that CoC is delayed because of too many documantary requirements. Otherwise team is very cooperative.
May-17,GTS,Mumbai,ANAND INTERNATIONAL,8,Responses are slow and processes take a long time.
May-17,GTS,Mumbai,Krishna Writing Instruments,8,Service is good and professional but sometimes we have to follow-up for a response.
May-17,GTS,Mumbai,Hindustan Unilever Ltd (RS QMS & Retail),8,We have no issues with service.
May-17,IS,Kolkata,"NATIONAL ALUMINIUM COMPANY LIMITED, ANGUL, ODISHA",8,Positive response; quality radiography testing; once attendance was delayed by 8 hours and disagreed to extend contract by additional six months
Jun-17,Cargo,Jamnagar,MAHAVIR TECHNOCRATES,7,"Good Services. Rates are on the higher side, should be discounted for regular customers"
Jun-17,Cargo,Kandla,IOCL,7,Good Services. But sometimes there are issues reg. late reporting by Inspectors & errors in Gauging
Jun-17,HL,Gurgaon,Good Earth,7,Testing services are satisfactory no issues but prices are high as compare to other Lab (SGS).
Jun-17,SL,Gurgaon,Jayshree Creation,7,"Services are okay, no issues so far."
Jun-17,SL,Gurgaon,Dimple Creation,7,"Happy with the services, operational excellence but presently not doing much business with Intertek as there is nothing specific to quote."
Jun-17,SL,Tirupur, Kelpro Export,7,1st time we are doing with Intertek/Few tests only done. No issues write now & expecting good support in future.
Jun-17,SL,Tirupur,Sivan Knits,7,Under Express service we need the reports on 2nd day but you are taking 2-3 working days. We need the reports soon.
Jun-17,SL,Tirupur,Soma International,7,Need some waiver when doing on final inspection. Otherwise your peoples are good & providing good service
Jun-17,SL,Tirupur,Jayakumaran Exports,7,"Commercial approval is providing some other lab for half grade failure tests, can be expected the same with us. Then the score will be high."
Jun-17,SL,Tirupur,BKS Textiles,7,Need to improve Accuracy of test results & required Technical suggestion about failure results. Price is low for buyer & high for our self submissions.
Jun-17,SL,Bangalore,ARTHANARI LOOM CENTER TEXTILES PVT LTD / SALEM.,7,"Lots of problem in overall updates, sharing in status, reaching of person is very difficult, requested many times to inform results first to concerns person."
Jun-17,SL,Bangalore,AVERY DENNISON INDIA PVT LTD/BANGALORE,7,"Report Delay, TAT issues, problem in conveying results."
Jun-17,Food,Hyderabad,Ushodaya Enterprises Pvt Ltd,7,invoices not received in time.
Jun-17,Food,Hyderabad,"KFC Restaurants,",7,Reports not received within TAT.
Jun-17,Food,Hyderabad,Source Natural Foods and Herbal Supplements Limited,7,"past 3-4 months there was a delay, now it was improving."
Jun-17,Food,Hyderabad,"Pahal Foods Pvt .Ltd.,",7,"There was an invoice issue, after payment released also requesting for payment, and delay in reporting, sometimes quotations not receiving as requested.Other services are good."
Jun-17,Food,Delhi,Catalyst Group,7,Communication gap was there but auditing was well performed
Jun-17,Food,Gurgaon,"""Ganpati Natural Products """,7,Delay in services..
Jun-17,Food,Gurgaon,"""Paras Spices Pvt. Ltd """,7,Turnaround time is always high and invoice and quotation never correlate.
Jun-17,BA,Mumbai,Smarter & Faster Enterprises,7,Some auditor says there should be transparency in suggestion box. Some say there should not be transparency. Every auditor says different things. That’s the reason for giving score of 7.
Jun-17,Electrical,Bangalore,SCHNEIDER ELECTRIC INDIA PVTLTD BANGALORE,7,Testing has been delayed too much. The project has taken 2 months time . It was difficult for us to follow up everytime.
Jun-17,Electrical,Delhi,Pyrotech Electronics Pvt. Ltd.,7,We have no problem with testing part but with the accounts deptt. We have to continuously follow up for getting invoices. Also when we ask for some correction in invoice there is no response. We always have to get in touch with Mr. Venkat for getting things done.
Jun-17,Electrical,Delhi,Overdrive Electronics Pvt. Ltd.,7,Customer is not happy with Intertek system due to which process is delay.
Jun-17,Electrical,Delhi, MOTHERSON SUMI SYSTEMS LTD NOIDA,7,Customer found delay in testing & report delivery .
Jun-17,GTS,Mumbai,GUJARAT NIPPON INTERNATIONAL PVT. LTD.,7,There was a recent delay in receiving CoC after inspection.
Jun-17,GTS,Mumbai,Mat Brakes Ltd,7,Sometimes services do not meet our requirements.
Jun-17,Cargo/AA,Chennai,PON PURE LOGISTICS,8,Feedback shared with Mr. G. Sasikumar
Jun-17,Cargo/AA,Jamnagar,DPS FOODS LTD.,8,Good Services. But still 8
Jun-17,Cargo/AA,Jamnagar,IOCL,8,Reporting to be on time. Expertise of Shore personnel needs to be upgraded.
Jun-17,Cargo/AA,Jamnagar,ESSAR OIL LTD.,8,"Less interaction of personnel, Expertise of personnel to be upgraded"
Jun-17,Cargo/AA,Kandla,PRAKASH CHEM INT. PVT. LTD.,8,"No services availed past 6 months due to lack of business. But however, score based on past experiences"
Jun-17,Cargo/AA,Kandla,OREN HYDROCARBONS PVT LTD,8,Good Services. But sometimes the TAT takes a longer time.
Jun-17,Cargo/AA,Mangalore,INDIAN OIL CORPORATION LTD,8,"Good Services. Couple of Issues, which have been conveyed to Mr. Aziz Shaikh"
Jun-17,Cargo/AA,Mumbai,"BPCL, MUMBAI",8,Improvement noticed compared to previous issues. Further more improvisation is required.
Jun-17,Cargo/AA,Mumbai,"IOCL, MUMBAI",8,"Good Services. Couple of Issues, which have been conveyed to Mr. Aziz Shaikh"
Jun-17,Cargo/AA,Mumbai,WITMANS INDUSTRIES PVT. LTD.,8,"Good Services. Needs expansion in scope of testing of paints, etc."
Jun-17,Cargo/AA,Mumbai,NIPUR CHEMICALS,8,TAT is longer
Jun-17,Cargo/AA,Mumbai,VINPA EXPORTS PVT. LTD.,8,"Services were good, all went well, but still 8"
Jun-17,Agri,Chennai,BUNGE INDIA PVT LTD,8,"There were teething issues 6 months back, but after discussions, there is improvisation observed, hence 8"
Jun-17,Agri,Indore,SONIC BIOCHEM EXTRACTIONS,8,Reporting requires follow-up. Improvisation on results required.
Jun-17,Agri,Indore,EAGLE TIE UP PVT  LTD,8,"No issues at all, but still 8"
Jun-17,Agri,Indore,VIMALA FOOD PRODUCTS,8,"Services OK. But not satisfied wrt LAB Accreditation (APEDA). Creates hindrance in carrying out business, where the LAB is not maintaining continual APEDA accreditation."
Jun-17,Agri,Kakinada,GTN INDUSTRIES LIMITED,8,"No issues, but still 8"
Jun-17,Agri,Kandla,LAXMICHAND DAYABHAI (EXPORT) CO. PVT. LTD.,8,Good Services & Support. Invoice not received for the payment made.
Jun-17,Agri,Kandla,KISAN OLEOCHEM & DERIVATIVES,8,"Good Services, Reporting portion to be improvised"
Jun-17,Agri,Kandla,GOKUL AGRO RESOURCES,8,"Good Services, Reporting portion to be improvised"
Jun-17,Agri,Kandla,VIMALA FOOD PRODUCTS,8,"Services OK, but not satisfied wrt LAD Accreditation (APEDA). Creates hindrance in carrying out business, where the LABS is not maintaining continual APEDA accreditation."
Jun-17,Agri,Kolkata,Sunny Trexim,8,Good Services. Details will be relayed to kolkata Branch
Jun-17,Agri,Mumbai Chandivali,VIMALA FOOD PRODUCTS,8,"Services OK. But not satisfied wrt LAB Accreditation (APEDA). Creates hindrance in carrying out business, where the LAB is not maintaining continual APEDA accreditation."
Jun-17,Agri,Mumbai Chandivali,TRANSWORLD FRUTICHEM PVT. LTD.,8,"Happy with services, but will have to review"
Jun-17,Agri,Delhi,SSA INTERNATIONAL,8,Services to be Synchronized in total. There was an issue of sample being delayed & thus the testing & reporting.
Jun-17,Agri,Delhi,ALLIANCE GRAIN TRADERS (INDIA) PVT LTD,8,Daily Updates to be provided same day or next day morning. These come in late & that too after enquiring for the same.
Jun-17,Agri,Tuticorin,INDIAN POTASH LTD,8,Good Services. But proactive measures required to protect customers interests.
Jun-17,HL,Gurgaon,C L GUPTA,8,Services are okay but have faced delay in reports (3139/3226) almost 6 days delay.
Jun-17,HL,Gurgaon,Bharat Exports,8,Services are satisfactory
Jun-17,SL,Gurgaon,ART & CRAFT EXCLUSIVES,8,"Services are okay, received report on time but faced technical and timing issue while Inspection because it had stretched beyond 7 pm which was not feasible. Work flexibility is there but QEs need to maintain allotted time frame."
Jun-17,SL,Gurgaon,Findoc Impex,8,"Satisfied with the given services, earlier samples flow was high but now association has being less and there is no specific reason to put for the same. New samples development are awaiting, which may send for testing in upcoming days."
Jun-17,SL,Gurgaon,FORTUNE EXPORTS,8,Services are considerable and accurate
Jun-17,SL,Gurgaon,AHMED TANNERY,8,Appreciate overall services and expecting to be the same in future to long to go for business.
Jun-17,SL,Gurgaon,Varun Exports,8,No problem in services but testing is on hold from past few days as per buyers instruction. Might get start very soon once development of articles complete.
Jun-17,SL,Gurgaon,Fashion Shoes,8,Good services but faced problem while Certification which has manged very well.
Jun-17,SL,Gurgaon,NEW HORIZONS LTD,8,"Good services, preferring Intertek for testing."
Jun-17,SL,Gurgaon,SUNLORD APPARELS,8,No issues while testing and its related actions. Next samples testing expecting in some days.
Jun-17,SL,Gurgaon,Ishita Knit Fab,8,"Good services, may send some samples in end of the month."
Jun-17,SL,Bangalore,RAYMOND UCO DENIM PVT LTD [GARMENT DIVISION]/BGLR,8,"Found errors in log-in details, if requested for revised report delay in that reports also and charging too."
Jun-17,SL,Bangalore,Arvind Limited,8,"Sometimes report delay, reports information are missing, few are good and gew are bad"
Jun-17,SL,Bangalore,Brandis Manufacturing and Marketing Pvt Ltd,8,"Reports delay, TAT issues"
Jun-17,SL,Bangalore,DEEPS TEXSTYLES PVT. LTD./KOLKATA,8,"Very much happy, no issues as such, pricing and testing are ok, fine good"
Jun-17,SL,Bangalore,INDIAN DESIGNS EXPORTS PVT LTD./BANGLORE,8,Having concern on not informing failure reports.
Jun-17,SL,Bangalore,AQUARELLE INDIA PRIVATE LIMITED/ANEKAL,8,Missing to deliver the report in time & need to call back for report.
Jun-17,SL,Tirupur,Frontier Knitters,8,Test charges are high for Sears Canada.
Jun-17,SL,Tirupur,Honour Garments,8,Happy with our service & no issues. Final score 8 only
Jun-17,SL,Tirupur,Adwaith Lakshmi Industries Ltd,8,Good communication
Jun-17,SL,Tirupur,Shreeradhe Exports,8,Report hard copies not required for pass reports & Required invoices only. For Failed reports we need hard copies for both.
Jun-17,SL,Tirupur,Mother Garments,8,"Good communication, Sample acknowledgments & reports delayed sometimes for Aldi stores & NJ Screen prints buyers"
Jun-17,SL,Mumbai,REGENCY TEXTILES,8,"Prompt response and good cooperation from the team.Finds antimicrobial test to be expensive,expects discount on the same."
Jun-17,SL,Mumbai,DIGJAM LTD,8,Expects in certain emergency or crisis situation need very quick report.
Jun-17,SL,Mumbai, BANSWARA SYNTEX,8,"Being manuf. mainly of lycra fabrics,sometimes they have to explain the QE's about the count of the lycra fabric.So expects to have board knowledge of their production."
Jun-17,CP,Mumbai,Oriental Carbon,8,Customer is happy with results and TAT as per customer comment customer is unhappy due to discrepancy in invoice.
Jun-17,CP,Mumbai,Lanxess,8,Customer is happy with service but due to some communication problem customer sent sample and PO to Delhi office instead of Mumbai which leads to delay in analysis.
Jun-17,CP,Mumbai,Lanxess,8,"Customer is satisfied with the results and testing services. As per customer feedback, Customer is totally disappointed with the Intertek site identification on Intertek portal and customer facing problem for finding the right site for product testing for communication customer given 1 rating."
Jun-17,Food,Hyderabad,Ovobel Foods Limited,8,service is good.reports received in time but invoices not received.
Jun-17,Food,Hyderabad,PEARL POLYMERS LIMITED,8,communication gap
Jun-17,Food,Hyderabad,The Global Green Company Limited,8,There was a delay in reporting taking approx. one month
Jun-17,Food,Hyderabad,CCL Products (India) Ltd,8,1-2 days delay in reporting.
Jun-17,Food,Delhi,Koluthara Exports Ltd,8,Auditing is overall satisfactory and services are ok
Jun-17,Food,Delhi,Srinath Rotopack,8,Overall happy with the services so far
Jun-17,Food,Delhi,Miraj Multicolour Private Ltd,8,Received co-operation from auditors but expected more guidance from them
Jun-17,Food,Gurgaon,Pride agro,8,Now the service is fine
Jun-17,Food,Gurgaon, Armon International Pvt Ltd,8,There is always cope for the improvement especially in operation team
Jun-17,BA,Bangalore,Toll ( India ) Logistics Pvt. Ltd,8,There are some of the statutory things but the auditor doesn’t have the current notification for the same. Being auditor it is expected from them to be updated with the current notification. Though I would really like to thank the auditor. He has spend a good time with us also. I would definitely recommend but on overall. I will give score of 8 only. 8 is also good. 9 or 10 is on higher side.
Jun-17,BA,Delhi,MAHADEV EXPORTS,8,No specific reason as such. As far as there is no such concern.
Jun-17,BA,Delhi,MAHIMA EXIM PVT LTD,8,No specific reason.
Jun-17,Electrical,Bangalore,GURU AMARDASS INTERNATIONAL,8,"Services are good, but the process is little slow."
Jun-17,Electrical,Delhi,CARRIER AIR CONDITIONING AND RFEG LTD GURGAON,8,Customer suggested lab needs to be more scheduled.
Jun-17,Electrical,Delhi,Reliance Retail Ltd. (formerly known Reliance Fresh Ltd.),8,Customer is happy but shown concern for not sharing draft report.
Jun-17,Electrical,Delhi,BRIGHT INDIA TECHNOLOGY PRIVATE LIMITED ERODE,8,"Customer is not getting response on time regarding project completion , shown concern for the contact person."
Jun-17,Electrical,Delhi,International Center for Automotive Technology,8,Charges are too high as compare to others .
Jun-17,GTS,Mumbai,NULUX ENGINEERS,8,We have some recent issue regarding HS code and we are trying to reach a resolution with the team.
Jun-17,GTS,Mumbai,GB FOODS INDIA TRADING PVT. LTD.,8,"We are happy with the services. However, we had issues with a recent test analysis for a food product."
Jun-17,GTS,Mumbai,Citizen Metals Pvt Ltd,8,We have used Intertek services only twice and so far so good.
Jun-17,GTS,Mumbai,PREM GRANITES & MARBLE,8,Everything is progressing smoothly.
Jun-17,GTS,Mumbai,MAHASHAKTI ENERGY LTD,8,Everything is okay.
Jun-17,GTS,Mumbai,LEXUS GRANITO (INDIA)PVT LTD,8,"Intertek office is closed on weekends but Saudi is working, so we experience delays in coordination. As such, services are good."
Jun-17,GTS,Mumbai, KEI INDUSTRIES LIMITED,8,"The draft CoC gets delayed sometimes, otherwise the team is very cooperative."
Jun-17,GTS,Mumbai,CEAT LIMITED (for SON),8,"We usually get very good service, but if the key contact is on leave, there is no proper handover within team. Also, we did not have a good experience with Intertek Hyderabad."
Jun-17,IS,Delhi," Hindustan Zinc Limited, Zawar Mines",8,HZL is associated with Intertek since last 03 years and this Project is going on for last one year. Inspector and inspection is satisfactory. Report quality needs some improvement.
Jan-17,Food,Hyderabad,Ushodaya Enterprises Pvt.Ltd (Foods Division),9,services are satisfactory except delay in sending reports and invoices in time
Jan-17,Food,Hyderabad,IBM Orion,9,No issues
Jan-17,Food,Hyderabad,IBM DTP Raidurgam - HYD,9,No issues
Jan-17,Food,Hyderabad,Amway India,9,Nice experience with Intertek
Jan-17,Food,Hyderabad,ITC Limited Agri Business Division-ILTD,9,"Timely responding, and results are precise."
Jan-17,Food,Hyderabad,M/s. Lotus Chocolate,9,services are good.
Jan-17,Food,Hyderabad,Godawari Udyog,9,Overall very good experience with Intertek.
Jan-17,Food,Hyderabad,Samishti Foods,9,"No issues, but in case of coordination with different departments is difficult, contact should be one."
Jan-17,Food,Delhi,Souparnika Export Enterprises,9,services provided by Intertek is great and system is good
Jan-17,Food,Delhi,Lion Holdings Baddi,9,Auditing process is very stringent & auditors are highly skilled.Knowledge earning is very good
Jan-17,Food,Delhi,Starksons,9,Auditor is well educated & skillful. Response time from Intertek is very good
Jan-17,Food,Delhi,Oswal Extrusion Limited,9,services are very good & have been associated with Intertek for a long time
Jan-17,Food,Delhi,Swan Sweets,9,Previous Exp is very good with Intertek & have been associated with Intertek for last few years.Services are very friendly & smooth
Jan-17,Food,Delhi,Ambaji Foods (INDIA) Pvt. Ltd,9,"services, followups, audit processes are very smooth"
Jan-17,Food,Delhi,Kamal Solvent,9,exp with Intertek is very good as he has worked with other bodies. Actually Intertek trains & educates. Very happy overall
Jan-17,Food,Delhi,Madhav Foods,9,Scheduling & all related processes are on timely manner
Jan-17,Food,Delhi,Rohini Packer,9,"services are good, auditors are knowledgeable"
Jan-17,Food,Gurgaon,"""Riviera Home Frunishing Pvt. Ltd. """,9,performance is good.
Jan-17,Food,Gurgaon,"""Danone Foods And Beverages (I) Pvt. Ltd. """,9,service are okay.
Jan-17,Food,Gurgaon,Brij Honey Private limited,9,Reports are always on time. Immediate response to every query or Concern.
Jan-17,Food,Gurgaon,BA Continuum India Pvt.Ltd.,9,Whatever we have done with Intertek is great. Services are apt & reports are on time.
Feb-17,Food,Delhi,"""Apis India Limited",9,Associated with certifications for last 9 yrs as are happy so foar with the services
Feb-17,Food,Delhi,Sanchita Marine,9,services are good + auditors are knowledgeable
Feb-17,Food,Delhi,Accelerated Freeze Drying Company Ltd,9,Operational services are excellent+very satisfied with the overall evaluation and auditing processes
Feb-17,Food,Delhi,Tureen Speciality,9,Very professional +through + Meticulous+fair
Feb-17,Food,Delhi,Royal Ocean,9,services are good + auditors are knowledgeable
Feb-17,Food,Hyderabad,MHS Pharmaceuticals,9,delay in reporting and sample pick up nee d to improve
Feb-17,Food,Hyderabad,Mother Dairy Fruit  & Vegetable Pvt Ltd,9,Feeling good with Intertek
Feb-17,Food,Hyderabad,K.K.N.Foods & Beverages,9,"Even hard copy of report received, but invoice not received"
Feb-17,Food,Hyderabad,Harsh Bakers,9,"Very good, no issues"
Feb-17,Food,Hyderabad,Sri Vyjayanthi Labs Pvt Ltd,9,Need to improve TAT of 5 working days
Feb-17,Food,Gurgaon," ""Natural Agro Products DU 168, Pitampura, Delhi-110088""",9,"""prices are bit high as compared to other labs."""
Feb-17,Food,Gurgaon,M.B. Exim (P) ltd.,9,"services are good, at times there is delay in reports"
Feb-17,Food,Gurgaon,"""Beez International """,9,Everything is fine just slight delay in Tat
Feb-17,Food,Gurgaon,"""Gamma Pizzakraft Pvt. Ltd. """,9,services are good.
Feb-17,Food,Gurgaon,"""Atyab Foodtech LLC """,9,"Intertek has provided great support to us, services are very well. Only, at times when given Tat is 3-4days, it takes longer than that."
Feb-17,Food,Gurgaon,"""Nutricia International Pvt. Ltd """,9,"nothing specific, services are good"
Feb-17,Food,Gurgaon,"""IndoCan Honey Pvt. """,9,some motivation should always be there
Feb-17,Food,Gurgaon,Welcome Fisheries Limited,9,"services are nice, courier is bit of problem please avoid dtdc."
Jan-17,Food,Gurgaon,Pals Plush India private Limited,10,Good services everything is going fine.
Jan-17,Food,Gurgaon,"""IndoCan Honey Pvt. """,10,Brilliant services. And attention to every details and open for customization.
Jan-17,Food,Gurgaon,Lotte India Corporation Ltd.,10,everything is good. Best services.
Jan-17,Food,Gurgaon,"""M/s Ezeebee Overseas Private Limited """,10,everything is great. Satisfactory services. Recommended.
Jan-17,Food,Gurgaon,METRO Cash and Carry India Pvt Ltd,10,Services are good. Sampling and repots are on time.
Jan-17,Food,Delhi,Teloijan Tea,10,auditor is very knowlegeable & Skillful
Jan-17,Food,Delhi,H M Biscuit,10,"very good services,attitude is very good,no fault finding"
Jan-17,Food,Delhi,Shruti Snacks,10,Have been associated with Intertek for last 5 years & are highle satisfied with our services so far
Jan-17,Food,Delhi,"""Olam Agro India Limited """,10,auditor are great & services are very good.support services are excellent
Jan-17,Food,Hyderabad,"Prayagh Nutri Products, Gagan Pahad",10,They are very much satisfied with our services and shared feedback on getting results are accurate and no delays.
Feb-17,Food,Hyderabad,Secure Industries Pvt Ltd,10,Timely reporting.
Feb-17,Food,Hyderabad,Elegant Chemical Enterprises Private Limited,10,"Customer said, We are extremely satisfied with the services provided by your lab"
Feb-17,Food,Hyderabad,TRUSTO BIOTECH,10,overall very good
Feb-17,Food,Hyderabad,WYNBRANDSLLP,10,Good services
Feb-17,Food,Delhi,Nirmal Agro,10,associated with certifications for last 5 yrs as are dependable services
Feb-17,Food,Delhi,"""Paras Spices Pvt. Ltd """,10,experience with services are great & all things in time
Feb-17,Food,Delhi,Nectar Life Sciences,10,quick & prompt response
Feb-17,Food,Gurgaon,"""Metro Cash & Carry India """,10,"Great Services, Highly Satisfied."
Feb-17,Food,Gurgaon,"""Tulsi Amrit Private Limited """,10,"""The best thing is your Accuracy with Results. Communication and report delivery is also great."""
Feb-17,Food,Gurgaon,""" Dynemic Products Ltd (Unit-II) """,10,"""services are great Communication gap is there when I specifically mentioned to CC the report to other email , it has to be reminded."""
Feb-17,Food,Gurgaon,"""AA FOOD FACTORY """,10,"""everything ig good, just little delay in reports."""
Feb-17,Food,Gurgaon,"""Amenity Agro & Foods """,10,"""services are better. Response is slightly delayed at times. """
Feb-17,Food,Gurgaon,Harris Enterprises,10,Services been very good. Massively satisfied with the services.
Feb-17,Food,Gurgaon,Kaira District Co-operative Milk,10,"staff cooperative, they understand the need and prioritize the situation. Special Thanks to Mr. Amit Giri - Sr. Executive, Operation. He's been a great Help"
Feb-17,Food,Gurgaon,"""Vrishti Beverages Pvt. Ltd. """,10,"Services has been amazing. Timely sample is being picked up and reports are also sent within TAT. Bharat- Executive, operations- Has been great support."
Jan-17,Agri,Hyderabad,Bayer BioScience Private Limited,9,Extensive good support provided
Jan-17,Agri,Haldia,Adani Wilmar Ltd,9,Satisfied with services
Jan-17,Agri,Tuticorin,G.GNANAM BROTHERS,9,Good support & services provided
Jan-17,Agri,Tuticorin,MAHALAKSHMI TRADERS,9,Excellent services provided
Jan-17,Agri,Tuticorin,MGM EDIBLE OIL PVT LTD,9,Satisfied with services provided.
Jan-17,Agri,Kolkata,Edible Agro Products Limited,9,Happy with services provided
Jan-17,Agri,Kolkata,AMRITDHARA OVERSEAS PRIVATE LIMITED,9,No issues in job execution. Services provided were at satisfactory level.
Jan-17,Agri,Kakinada,GTN INDUSTRIES LIMITED,9,Satisfied with inspection services provided
Jan-17,Agri,Kakinada,COROMANDEL SQM (INDIA) PRIVATE LIMITED,9,Client is happy with services provided & support provided by staff
Feb-17,Agri,Indore,SHARMA COMMTRADE INDIA LLP INDORE,9,Satisfied with services & would like to continue our services
Feb-17,Agri,Indore,ANSHUL CORPORATION,9,Satisfied with services
Feb-17,Agri,Indore,GUNA AGRO INDUSTRIES GUNA,9,Satisfied with services
Feb-17,Agri,Indore,MAHESH EDIBLE AGRO OIL INDUSTRIES PVT LTD,9,Fully satisfied & Would like to continue our services
Feb-17,Agri,Indore,TRANS EXIM COMMODITIES INDIA PVT LTD,9,Satisfied with the services
Feb-17,Agri,Indore,Merchant Agri Global Pvt Ltd - Indore,9,Fully satisfied & Would like to continue our services
Feb-17,Agri,Indore,EAGLE TIE UP PVT  LTD,9,Satisfied with services & would like to continue our services
Feb-17,Agri,Indore,KOHINOOR FEEDS AND FATS LTD,9,Satisfied with services & would like to continue our services
Feb-17,Agri,Indore,DEVESH AGRIEXIM PVT LTD,9,"Satisfied with services, everything is perfect"
Jan-17,Agri,Chennai,SEA PORT SERVICES PVT LTD CHENNAI,10,Satisfied with services
Jan-17,Agri,Kakinada,MMTC LTD,10,No issues working with Intertek. Happy to work with
Jan-17,Agri,Kolkata,KRISHNA INDUSTRIES,10,Satisfied with services
Jan-17,Agri,Mangalore,ELITE GREEN PVT LTD,10,Happy with services provided & coordination
Jan-17,Agri,Mangalore,Mangalore Chemicals & Fertilizers Ltd,10,Extremely happy with support provided & the way job is executed
Feb-17,Agri,Indore,Priya Products Ltd.,10,Fully satisfied & would like to continue our services
Feb-17,Agri,Indore,Vippy Industries Ltd,10,"Good services, satisfied with works & would like to continue our services"
Feb-17,Agri,Indore,ITC LTD ABD,10,Satisfied with services & would like to continue our services
Feb-17,Agri,Indore,AVI AGRI BUSINESS PVT LTD,10,upto mark - satisfied with the services
Jan-17,BA,Bangalore,SCOTTS GARMENTS LTD. Unit-21,9,We have no issues with Intertek. We are associated with Intertek for lot of work. They are doing fine
Jan-17,BA,Bangalore,Arvind Limited,9,No feedback & suggestions
Jan-17,BA,Panchkula,Power Chem Plast Limited - Unit-II (Formerly Power Drugs Limited),9,"Audit is good. Every year we are doing audit through ITS. No issues. OK, auditor is very proper"
Jan-17,BA,Panchkula,Pidilite Industries Limited,9,"Audit we are doing continuously. And in every time he gave us suggestions which si very useful to us. This time also he gave us many inputs for improvement. But I feel that auditor should be more trained about this audit, they are good but I think if you provide them training they will be great."
Jan-17,BA,Panchkula,Bansal Spinning Mills Ltd.,9,"Audit is very fantastic. He guide us in all aspects. From starting to till end audit goes very well. But if the audit will more Elaborate than it will be useful for us, take it as a suggestion. Continuously we are performing audit from ITS.. No issue."
Jan-17,BA,Indore,Ujjain Packaging Private Limited,9,Audit is very proper. He done the audit very properly. Gave many suggestions to improve our documentation. All good
Jan-17,BA,Indore,Vindhya Builders,9,"Audit is very good & fine, Still we have not our certificate. All process he done very smoothly, where ever we have doubt he clarified very clearly. 1st time we have done the ISO audit. We are happy with auditor."
Jan-17,BA,Indore,Malwa Oxygen & Industrial Gases Private limited.,9,Audit goes very well. Auditor checked all required documents. We don't have any doubt.
Jan-17,BA,Mumbai Andheri ,Accent Microcell Pvt. Ltd.,9,All process goes well. Auditor is well trend & very professional. Document he checked properly. No issues.
Jan-17,BA,Mumbai Central,PARDES DEHYDRATION COMPANY,9,The only problem is the NCs are not closed from your end. Your executive is on leave for 15 days. HUL is behind us to close the NC. Rest everything is okay
Jan-17,BA,Delhi,SHINGORA TEXTILES LIMITED,9,Supportive and understanding of cooperate world. It was good.
Jan-17,BA,Delhi,MARVEL HOME FASHION,9,Its fine. They are working well.
Jan-17,BA,Delhi,Aaress Auto Pvt. Ltd.,9,"Audit is fine, no issue. All process is fine. Auditor is very knowledgeable person. All ok"
Jan-17,BA,Delhi,Chromalox India Precision Heat & Control Pvt. Ltd.,9,"Audit is good, this our Surveillance audit. Auditor reaches on time & done all process very properly. No issues"
Jan-17,BA,Delhi,"HCL Technologies Limited-IOMC, HCL Comnet Systems & Services Limited and HCL Comnet Limited",9,"Audit is quite good. Auditor is very good, knowledgeable person. Earlier he has done the audit. Very co-operative to us"
Jan-17,BA,Delhi,EVEREST TANNERY PVT LTD,9,No feedback & suggestions.
Feb-17,BA,Tirupur,Leetha Pack Pvt Ltd,9,No feedback
Feb-17,BA,Tirupur,Pebbles / Home Décor,9,I like the post commitment of the auditors. I got the report after the 2-3 days of the audit. Intertek has a good name in the market.
Feb-17,BA,Indore,UTI Infrastructure Technology And Services Limited,9,Audit goes very properly and fine. Auditor did all the process very clear. And he explain us about audit very clearly. No problem with audit. We are satisfied with ITS
Feb-17,BA,Indore,Ujjain Institute of Pharmaceutical Sciences,9,Audit is very fine. We had nice experience with auditor. No issues.
Feb-17,BA,Bangalore,TEXCO FASHIONS,9,Sometime the reports gets delayed. Rest is okay
Feb-17,BA,Bangalore,RADHAMANI TEXTILES PVT LTD,9,It was good
Feb-17,BA,Bangalore,ENGLISH BLAZER,9,Auditors were very good. No feedback.
Feb-17,BA,Panchkula,OKS Prepress Services Private Limited,9,"Auditor is very knowledgeable person. He done the audit based on FOA. He checked all our internal & MIR Report. Also done audit for our supportive division as HR Dept., IT & Market Dept. Next he verified all the process in our service dept. overall audit is very good. Both the auditor are very nice person. From beginning itself we are connected with ITS for certification"
